,year_of_birth,height,weight,scars,colour,year_of_discovery,number_of_lost_teeth,life_length
45,500,48.909624355656796,12.3971855963615,2,red,1702,15,865.101833439251
46,-1599,43.8426449474854,12.2203004226826,17,green,1702,23,1776.98490337957
47,-86,52.869927595568704,17.9282024565866,14,blue,1702,18,1523.33579330462
48,584,53.1009765921467,13.302667329607699,11,red,1702,24,1391.36310116311
49,-1803,57.9609808132267,16.8406329421983,1,green,1702,39,1412.4724407867902
50,-633,43.435446054894,12.375225236842999,1,green,1702,20,1053.78027861727
51,347,38.5078203976592,11.745952455806101,4,green,1702,1,787.03517774419
52,-138,50.3501262054834,13.7854642985215,10,blue,1702,5,1100.41899280629
53,-1337,43.02635890094751,11.5222272179047,1,green,1702,7,762.545566330122
54,1489,51.014141054822105,13.307104433886199,9,green,1702,39,1653.1582760477
55,1305,53.6537978283432,13.5420061978835,44,blue,1703,32,2898.42069399926
56,-1179,57.5704333280153,15.0227720267357,4,green,1703,8,929.562288172267
57,1640,42.5979787289231,10.8866150034212,14,red,1703,38,1883.6624181357897
58,-24,44.8102866226074,11.7847022628694,14,red,1703,1,1176.16208946857
59,-249,46.2285174094534,13.955325462739198,3,green,1703,40,1516.76567113391
60,-1574,53.489430171218395,13.3745760067284,2,red,1703,29,1227.62821311477
61,1476,40.227121907679,10.6732847824277,11,red,1703,12,1187.63676263103
62,-1641,52.2099229850422,13.5076529660399,18,blue,1703,3,1383.7027981317801
63,557,40.28466816085621,10.8245160159135,2,green,1703,11,787.287710729738
64,-193,46.5188600678252,13.098929398522401,6,green,1703,17,1197.44087132523
65,-1161,49.936649667896994,13.245169917744601,5,green,1703,14,1101.21184355561
66,-201,51.7281090899548,14.1196011039751,34,red,1703,28,2526.4935212340397
67,588,51.0217308891006,13.674776512272599,0,blue,1703,13,750.216371265156
68,-281,49.51082970352,13.1583494942771,5,blue,1703,33,1450.09016388934
69,-945,50.9293543920267,13.237957795624899,9,green,1703,35,1663.8392981264801
70,-1275,39.8778706045062,11.4491968359234,4,red,1703,23,1217.30341279163
71,-1790,51.380746402168995,13.5616768869026,2,blue,1703,15,950.0387898330839
72,-1442,51.481951457590704,13.392153335538001,0,red,1704,39,1405.6014622338198
73,-835,50.1446672586154,12.877887869286099,19,green,1704,13,1626.0751123734199
74,69,58.102792405048895,14.654535777316198,4,red,1704,25,1285.28179085025
75,237,54.5243141488187,14.8361677141677,22,green,1704,37,2226.02250062129
76,-1779,58.5188286262415,17.0292954002881,9,red,1704,5,1073.3571357395099
77,427,47.188070831326506,11.8869699536321,8,red,1704,25,1422.52526156768
78,1481,56.534917610860795,14.449505826731999,19,blue,1704,37,1984.55000800102
79,-998,42.0193726407605,11.2616728643061,6,red,1704,30,1477.8004540881698
80,-243,51.91828438108,14.8520784252162,11,blue,1704,3,1104.29684475834
81,1166,52.58587917605579,14.6460966185622,9,blue,1704,3,919.144916867215
82,626,54.540648695882396,14.333196081138402,3,red,1704,36,1335.40172950586
83,-1900,46.8636893832012,11.8370933029074,25,green,1704,8,1782.7737166007
84,-115,48.276990778001604,12.4590383687063,12,red,1704,32,1694.66339795559
85,377,57.18997659366,14.9825950498213,0,blue,1704,1,588.2351274762519
86,-733,51.327211324921706,15.324315804129801,0,blue,1704,18,966.1490072240649
87,-1118,48.2537212958726,13.436841707406002,3,red,1704,14,1018.41642842395
88,472,55.0152763099326,14.0711890498388,11,green,1704,38,1786.3485690469101
89,1635,40.4986210217625,10.2018668887749,2,red,1704,7,819.7468435921061
90,1304,44.99033149019179,11.666172021986801,24,green,1705,13,1686.1209146381
91,-1604,51.3568845775276,12.9808210235164,13,blue,1705,31,1741.4653965494902
92,-1728,53.1900870880565,16.9672477899565,0,red,1705,17,927.581823833417
93,824,46.1784868692304,11.9052653148139,1,red,1705,3,632.1321989967109
94,-1275,49.55985989795779,12.861518298745501,5,red,1705,27,1382.04100708275
95,1707,54.431279288118404,14.240442538046699,2,green,1705,1,675.569014953124
96,1727,42.883457466556294,11.256852725706999,1,blue,1705,15,960.814121015915
97,-1430,45.692270757627895,13.5645145906868,20,red,1705,7,1518.83322254716
98,75,50.481344694647596,13.406502449471299,1,green,1705,20,1024.60170726415
99,-1955,42.9107643730331,11.014543301224402,40,red,1705,14,2496.12391092116
100,-44,56.8217403485375,15.174411484159698,5,green,1705,12,1042.8029267862598
101,237,66.2620728617246,17.0439756602443,17,green,1705,6,1400.44419372052
102,1429,51.791942547715394,13.5491489613601,2,blue,1705,39,1382.32978287178
103,1146,42.506582302314,11.014355979229501,17,blue,1705,19,1556.66091841
104,478,58.934054756654795,16.071473616628403,1,blue,1705,15,938.985010155488
105,1215,45.187511613199604,12.1503475944972,53,green,1705,8,2761.4601148346196
106,-522,51.607684538586504,14.923717839763901,20,red,1705,11,1624.84335885422
107,1406,49.52152549751779,14.235656388710801,7,red,1705,31,1355.6805437421401
108,1272,60.6189495861797,16.6476980189951,34,red,1706,13,2113.8657948316
109,-169,44.0747369563982,11.7144246145245,10,green,1706,8,1180.50998047195
110,-256,50.5612950029253,13.6722883263126,8,green,1706,14,1194.30180072309
111,-100,55.13534298515571,16.685095064115,3,green,1706,39,1493.90998539644
112,-1988,52.127069911834,13.234331066620701,2,blue,1706,15,988.475990034092
113,911,53.238034845283,14.3335465799946,3,blue,1706,2,654.528597843164
114,1183,41.834321394891,11.5684639988868,4,blue,1706,12,891.116308206721
115,1105,42.413930822320296,11.305086528177302,13,green,1706,32,1680.8780377175
116,1764,55.5774194164866,14.099221670430401,3,red,1706,8,887.050062511417
117,-1812,52.59323799616529,13.6457526139143,7,blue,1706,5,992.301224303481
118,1725,47.24343403615539,11.8578227497649,1,blue,1706,8,803.848888765674
119,1256,42.3663310566971,11.5895364491328,5,blue,1706,39,1498.67713620879
120,-944,51.612757524759,13.642318514147801,26,blue,1706,26,2161.61421260919
121,132,47.335789330994395,17.0535991972961,4,red,1706,11,953.214452375283
122,-1732,42.4940230024182,13.5335132228569,2,red,1706,8,823.422296276239
123,1433,45.5593042662842,11.609272428173,16,blue,1706,34,1790.47126263876
124,330,48.9811033288475,12.490127932910301,23,red,1706,23,1982.8061933516299
125,1549,48.67415822927239,13.6710133264398,5,blue,1706,14,1093.17914747078
126,400,56.2942959556212,15.612525492956,7,red,1706,16,1215.78570036696
127,1418,41.0769203285983,11.036580074055,11,red,1706,13,1186.10151415254
128,-1704,55.948113803804,16.1163784226019,20,blue,1706,22,1811.74945615292
129,-103,44.032193202767495,13.897456985466402,7,red,1707,12,1120.19004361726
130,1483,53.6897884177446,13.773994482725199,4,red,1707,11,890.4630233331351
131,1062,64.04937542885371,16.405890862233502,1,green,1707,35,1273.38181973694
132,281,45.4753099738054,11.560306135546401,5,red,1707,28,1371.64976987003
133,602,63.508624257120104,16.388729189888302,13,green,1707,37,1741.6952985893302
134,1163,47.0492897560651,11.9303184101781,2,red,1707,15,873.724202465623
135,-433,46.370451735850494,12.385798620613198,1,red,1707,38,1388.41557306474
136,378,48.3743028682609,13.035137388928401,0,red,1707,10,819.3544310507081
137,1351,49.609310693227606,13.358312968647098,15,red,1707,33,1763.42961532762
138,-1028,57.898947110159995,15.6952093191357,13,green,1707,13,1378.79431020595
139,-1272,52.724035811596096,13.8768197076405,3,red,1707,39,1494.2193441559803
140,-337,54.3043078156642,14.321181079574899,0,green,1707,35,1334.55665692854
141,-475,52.12416048406239,15.022411560701402,11,green,1707,25,1519.13543046738
142,-1933,52.9847898228172,14.6754322546179,3,red,1707,17,1051.02759177812
143,235,34.0674643231927,10.892060762480499,1,green,1707,28,1216.1236997487
144,629,48.2991561249793,12.9826149491397,4,red,1707,4,746.739664612551
145,-451,46.5605999713454,13.2705427788677,36,blue,1707,31,2644.83660695651
146,1620,50.2478370324934,13.270232344778199,1,red,1707,37,1390.3367240437399
147,11,43.69229735223829,11.783188672048901,3,red,1707,11,935.613028715136
148,1423,39.8614325578608,11.766984002098802,5,red,1707,30,1281.90016905493
149,-155,55.0610380012636,15.794970517617,2,blue,1707,29,1229.56924217845
150,-1666,55.724588735758104,14.4448394623545,5,red,1707,24,1243.53363230496
151,1006,51.2703027980106,13.9861441308604,4,blue,1708,18,1040.7301916981698
152,-477,58.9091865987619,15.430864362347,15,red,1708,33,1858.88182479916
153,1663,51.98810352186871,13.8444530691403,2,blue,1708,13,972.208088989736
154,935,47.72071051415771,12.2938141920715,5,blue,1708,15,1035.19891792073
155,-670,46.7606794978862,12.8336224601044,15,red,1708,6,1344.65972322576
156,-1987,50.205875714469606,13.5003991911634,13,red,1708,38,1877.28576659909
157,-681,41.8588414543229,11.3897616131024,3,green,1708,8,865.687843739611
158,-1331,66.218144236811,18.074901450045303,2,red,1708,8,840.0539863336929
159,-130,60.0960215690127,15.9564861651471,3,blue,1708,34,1387.28528348129
160,-1945,51.7649684847368,12.9441276272365,8,red,1708,11,1126.2191799659101
161,1114,48.744280080659294,12.205086841682999,10,blue,1708,26,1409.4983651543803
162,-1331,52.7194264771713,13.3961214040946,4,green,1708,10,975.413600998813
163,983,42.3712944414122,11.608838551779803,9,blue,1708,11,1066.0116040635698
164,-746,53.2141312652838,13.5525998983908,9,red,1708,26,1477.7062528257002
165,1527,59.736374852805206,16.4164133357668,8,red,1708,9,1098.7198826101899
166,-464,45.125857764233295,12.800230042648401,1,red,1708,7,770.142534699203
167,1774,51.403054416388706,13.116610210906801,1,blue,1708,9,814.864416121994
168,-233,52.817145322737,13.5810890940219,3,blue,1708,39,1472.2236566397303
169,-66,65.8161576313223,16.7462214286736,22,blue,1708,17,1845.4138695737
170,-1286,55.6406949217177,18.3998020359285,5,red,1708,15,1114.4685977995
171,617,53.0504986827711,14.2605309569202,13,red,1708,27,1557.68560447956
172,49,40.765559200138,10.7267802575729,6,blue,1708,16,1173.60113922151
173,-1493,53.2534396550916,13.992778184714698,6,blue,1708,26,1333.74185006322
174,-741,49.8764714396536,12.481987415882198,2,red,1708,14,979.4671353916541
175,-495,44.377352122713205,12.421122515655998,0,green,1708,24,1093.21943125277
176,-1605,58.3887399931521,18.306717036224,5,green,1708,22,1196.44851890885
177,-1544,47.2928036252831,14.078936792279999,1,green,1708,4,692.4529033475341
178,-418,44.6128773550546,12.992437724197199,9,green,1708,6,1115.02679259805
179,1760,44.6462845805327,12.4025575323365,5,blue,1708,32,1419.5561110699402
180,-801,50.259593026806606,15.3147110812272,30,blue,1708,13,2065.33087555397
181,-314,44.175621340597,11.442197851507402,7,green,1708,37,1619.71306551565
182,1217,55.7935344269351,15.147909294535301,26,red,1708,0,1530.8425914972502
183,-964,44.9207422853827,11.4015683604414,5,green,1709,2,837.51361161472
184,152,64.1490470889765,16.4311844886233,1,green,1709,20,996.5496816967219
185,-944,49.078116949754296,13.776965002472,2,red,1709,36,1394.0835366163599
186,744,49.588988737165394,12.906861148998,4,red,1709,5,781.8055405717821
187,-1495,48.680774525322896,12.480528289580901,2,red,1709,19,1020.06899959095
188,-235,47.264130824877796,12.274385185371802,5,blue,1709,37,1525.92131150126
189,1323,52.965063323303795,13.931672749351598,4,red,1709,38,1423.9306886372901
190,101,52.24628440923039,13.074754485394001,1,green,1709,14,942.518482207108
191,670,56.015108657338,14.974508921873698,7,red,1709,18,1136.44329733678
192,-829,49.0074155394121,12.6766174319165,10,green,1709,30,1606.29620292112
193,-188,41.582543970561204,11.6644520753366,5,red,1709,16,1135.69059236401
194,-853,53.4767672912933,13.5431609896423,5,red,1709,28,1358.05159881732
195,-855,44.00068235311,11.0828990021425,1,green,1709,23,1081.16807433279
196,-1531,47.92384769660999,13.5063060946985,5,red,1709,27,1342.1826086984402
197,1127,47.7276542606189,12.045811129142301,0,green,1709,16,811.5770647092081
198,-1965,40.417959654752295,10.7208724459755,4,blue,1709,14,1034.08555757624
199,1549,46.360847139718295,12.490800146317401,14,red,1709,17,1473.70615616591
200,-1992,51.666769707757304,13.361203649126802,10,red,1709,24,1504.0918039579
201,1149,48.44979717932279,12.516634038592699,13,red,1709,23,1494.6494131254801
202,1535,50.152873604239396,13.414746774006,2,red,1709,36,1441.62246847431
203,-1280,44.2434298936926,11.4903034715951,2,red,1709,7,817.061211569187
204,-838,54.669982586954205,15.171223531617699,18,green,1709,19,1682.30151459029
205,415,46.8477046595815,11.850452028343302,5,red,1709,32,1410.56469554673
206,-1391,62.7202911243659,15.7863330999466,20,red,1710,23,1875.2317982142602
207,-1088,52.166952259248106,13.366936866572098,15,red,1710,2,1198.6950985345698
208,-385,44.487073505492106,11.3249862269054,7,blue,1710,33,1535.31941287047
209,-1907,61.728518905551994,16.102934253510497,3,green,1710,20,1157.07411700961
210,1753,55.948223266769105,14.201712901708698,1,green,1710,9,826.0402313669271
211,2,54.7031401658851,14.4862379001367,3,red,1710,38,1506.19747149763
212,1103,51.1535904709668,13.1109443768964,47,blue,1710,36,3105.1690910178304
213,897,51.6598138843997,13.8789449168327,6,red,1710,15,1045.82669810715
214,-1144,55.001915399752704,16.039236879973398,4,red,1710,17,1110.35343385887
215,659,45.8670187135816,11.766256205030501,0,blue,1710,9,649.922117724796
216,1718,46.32754301006349,11.9660248175894,9,blue,1710,39,1727.7836790344597
217,1610,61.38732095032021,17.5602768080144,6,red,1710,28,1397.0956333305999
218,-1369,64.4739942823241,16.721031475176197,5,red,1710,34,1487.8577197847599
219,-400,57.4070969578557,14.525517135409801,3,blue,1710,28,1281.21208682412
220,-467,53.2724509021329,13.439442710764599,4,blue,1710,21,1195.47474571082
221,1091,46.2354544913072,11.8884280377452,6,blue,1710,25,1244.65318239762
222,1526,45.4938985834836,11.4389179837659,19,red,1710,13,1614.37772256508
223,-1546,46.5026082813313,11.8062969173198,3,green,1710,7,872.1899869776739
224,1584,52.6703894671454,13.7133785749886,2,red,1710,23,1151.1319311330801
225,-1083,53.006925390209595,14.709217325028698,2,red,1711,19,1049.24344143645
226,-1655,43.480903476811704,10.918231050102,18,red,1711,15,1632.3148755334303
227,-360,37.1667795568791,11.007120143912802,5,red,1711,6,915.0512767164529
228,1745,46.9916721119924,13.269277143753099,1,red,1711,0,683.120315698858
229,-1174,50.6385603835829,13.680852838517598,14,red,1711,14,1416.42143719353
230,-153,61.8554490728295,15.7536609913503,17,black,1711,39,2081.4875742774498
231,452,40.845376544159,10.254095350506699,5,red,1711,36,1505.01256951856
232,1502,52.307987093704604,13.4172075780562,7,red,1711,31,1513.86002359087
233,-613,50.5522940860381,17.866959933672103,8,blue,1711,24,1445.05273125656
234,-1446,65.0938185468286,18.9860356769188,12,red,1711,21,1531.6234428946302
235,-1567,50.64996898974529,15.1962111033619,26,blue,1711,35,2359.59661305867
236,-1450,54.593792081291504,13.8411479784275,15,red,1711,5,1300.75253188493
237,885,56.6165849134353,15.2893394821841,14,red,1711,34,1732.1595235962302
238,-1186,44.3080103485392,11.1207319710989,18,red,1711,8,1551.4089879339099
239,-772,36.1373215822825,9.727455692886052,4,red,1711,30,1367.60980504973
240,1542,39.6106161125705,10.195264686009699,2,red,1711,29,1261.4739712385
241,-26,42.7127714622086,12.202422988034401,4,blue,1711,6,877.0082408474901
242,-1510,57.096807921334495,14.582007815537601,8,green,1711,14,1219.7974925866802
243,1489,53.3758139997425,13.9983478797526,0,red,1711,19,882.865188734232
244,1791,47.2879877948672,12.065076970530301,11,red,1711,33,1689.70018832458
245,267,36.3789568725923,9.80969488150489,10,green,1711,7,1156.0760198311
246,-1791,53.9707936810528,14.2562336199081,4,blue,1711,25,1278.57183719255
247,1735,38.5493836412491,10.014884635114699,2,blue,1711,1,714.8789915558591
248,669,53.3002391708782,13.6310669986939,10,red,1711,24,1359.69546379646
249,-1148,55.6655307839876,15.415374537363201,2,blue,1711,28,1222.12258857394
250,-1169,40.2766019008612,11.238387103120198,3,red,1712,6,823.407500442838
251,980,44.4627570394508,11.1406508003965,4,red,1712,29,1250.2405701706
252,-298,47.586679305206204,12.1213018459098,10,red,1712,10,1211.2137495078698
253,-104,59.7277732439254,15.288551994690401,8,green,1712,22,1354.94709951129
254,-570,53.138755638134,13.6307509094431,6,blue,1712,18,1194.83730625053
255,-504,60.4175760000016,15.439479204337198,1,red,1712,2,709.8131670443179
256,741,51.16472754630671,14.160320315476,8,blue,1712,32,1465.1650111772199
257,-1310,42.1975923430835,10.7535999419333,11,green,1712,16,1377.7602286813599
258,1371,53.953125216942304,14.921824511626301,4,green,1712,29,1255.04250795272
259,-948,57.884441719788,14.6919044643924,14,red,1712,15,1431.2056276484
260,-1625,51.104842129644496,13.0985926332239,4,red,1712,38,1471.78902917345
261,928,48.176595968998,13.2359036807163,4,blue,1712,12,885.347835589662
262,745,40.017231819352006,10.296498740357801,3,red,1712,19,1012.8347641832801
263,1086,41.4721289123706,11.0339995635515,8,blue,1712,35,1517.26587124514
264,1784,39.5028123877246,10.155129580834199,29,red,1712,4,1851.1398194207898
265,1498,54.1480423082228,14.677902468917901,4,green,1712,5,794.8164199784579
266,-652,57.1914744644462,14.3064060805325,1,blue,1712,30,1223.6730381154
267,1390,34.361682945267,9.16598430447295,16,red,1712,22,1547.79585908055
268,-1895,51.066936444267796,12.791820139522901,6,blue,1713,29,1413.80425056886
269,-997,57.8437797026595,15.1465783116845,6,green,1713,18,1205.76840552838
270,112,47.88789990721661,13.706264442192198,12,red,1713,37,1825.5243254007898
271,387,39.638362497508396,10.2998981588631,3,red,1713,30,1321.93132369595
272,-1200,38.092195188666295,10.019468201799901,10,red,1713,14,1293.70677562223
273,-1847,47.1600417082339,11.9381508086145,0,red,1713,9,799.431809004275
274,-715,42.6201999375158,12.626379673320802,14,blue,1713,9,1361.89112850685
275,-764,62.4330487323183,16.5251467552827,10,red,1713,26,1551.9142560090302
276,220,46.054926742309895,11.749269020854099,0,blue,1713,31,1228.09051522299
277,-487,56.8900259891969,14.9498220581718,15,red,1713,25,1669.82686667163
278,1158,51.469858375702,13.341186752391,9,red,1713,25,1351.45141310148
279,72,51.810864981825105,13.3582947213674,3,red,1713,18,1050.42719423838
280,1614,44.315233311519606,12.5627448741663,1,red,1713,29,1228.3838494418198
281,-510,57.5418041170627,14.738065810619302,1,blue,1713,37,1381.38000451606
282,-622,47.3218191117476,12.7363259493992,3,blue,1713,14,995.819495612194
283,1276,54.2964955200517,13.5861416450142,3,red,1713,12,852.728393020092
284,1667,46.0116536436351,12.337867895232598,4,green,1713,35,1475.40135010423
285,274,53.507245503011596,14.621909332330999,1,red,1714,6,743.515564791299
286,-899,46.7061754523989,12.8500320329662,2,red,1714,23,1117.55237288554
287,-1706,49.0361404300665,12.753310432152,13,blue,1714,11,1320.46230342689
288,380,47.867002944057894,14.878354142983302,5,red,1714,16,1112.78228728971
289,-1560,47.7170535407411,12.932059187572598,19,red,1714,15,1647.2979596659802
290,657,51.631215802653294,13.3552232615833,5,red,1714,2,753.5860221145191
291,1408,41.374476854544504,11.6029070552122,1,blue,1714,5,633.66863241461
292,-1059,45.3623515213546,12.687533579600998,1,red,1714,3,739.767381730173
293,-872,58.7185535728078,16.2350097616776,4,red,1714,1,790.492138401424
294,270,51.4561612345139,15.5785877358736,3,red,1714,38,1459.21565879538
295,1521,47.21249721913421,11.944866049957499,40,green,1714,14,2469.52209658018
296,-906,50.3615995786955,13.2370909804446,0,red,1714,2,664.906658556502
297,-1977,51.473748477153904,13.835433327079802,8,red,1714,16,1220.41353241091
298,177,56.9908031070616,14.2957919620446,1,green,1714,30,1280.87104912569
299,-1357,47.2678108728674,11.907438979322801,24,red,1714,10,1758.61206016315
300,-803,42.719032177768604,12.403294938083501,33,red,1714,20,2337.83923320047
301,320,51.312442945657,15.046615416608802,7,blue,1714,21,1308.75770311721
302,-84,37.962576713365294,10.5320753650201,21,blue,1714,2,1471.1796862407998
303,51,60.3739972419524,15.490389997774301,14,red,1714,25,1623.06671708089
304,1139,38.9432958539523,10.4996324067632,21,green,1714,27,1857.8205876736101
305,-1487,54.0038815163029,14.5592260978159,5,green,1714,20,1205.7175457963199
306,177,53.0004580614709,15.0269833261609,3,red,1715,16,984.050270833606
307,1604,44.4702564310034,12.417456089005102,1,red,1715,27,1210.73342673049
308,562,47.7440145164462,12.207753486271,6,red,1715,34,1425.77779200733
309,275,41.2575472449145,10.5547021750217,7,red,1715,37,1656.3896612073902
310,1800,37.571754611276,9.618009203116971,4,red,1715,21,1220.9992912028802
311,-712,45.1725641999977,11.6208555947204,1,red,1715,38,1386.74323022255
312,-1845,37.4364642559614,15.3774872731565,3,red,1715,10,931.549250616136
313,566,60.3298201135081,15.412093423835499,4,blue,1715,30,1252.15990509057
314,909,48.5180115133171,12.533418153543698,3,blue,1715,24,1098.11167173077
315,-364,44.9568360642729,12.673448854256499,2,blue,1715,25,1186.66395209301
316,1483,37.4952403246544,11.905866332578302,8,green,1715,25,1337.55218355964
317,561,45.052681203428605,11.772180500780198,1,red,1715,38,1287.32204722644
318,1156,55.6759042766987,14.029080779038301,5,blue,1715,39,1477.95721230757
319,365,51.49347309162021,12.9742172002233,19,red,1715,34,2039.19058217464
320,-332,71.8588763534058,18.3265561471452,3,blue,1715,31,1350.6881270309698
321,1265,61.75194621047171,15.8252508527557,0,red,1715,7,631.564515609212
322,84,56.5381448022615,15.2663090027347,20,red,1715,16,1736.7334176487
323,838,65.6280301413693,17.208320426461,28,red,1715,29,2220.3922761006897
324,-927,55.941819308975,14.6955239592392,26,red,1716,2,1698.5762699628501
325,649,51.3653972680345,13.280469911420699,1,green,1716,36,1281.1190853915302
326,-807,51.57789457639011,14.0101876632899,6,blue,1716,12,1046.4338588108099
327,287,56.723577763509596,14.1883860760361,24,blue,1716,26,2088.06881428502
328,1179,47.5425000791968,12.2532138588272,12,red,1716,40,1790.9737885457198
329,-747,39.2338931980046,12.5112688328385,6,red,1716,30,1416.23402688321
330,-20,48.2431100999654,13.046986277746,8,red,1716,24,1418.0961274437802
331,1714,38.1807221804482,10.73228234879,17,red,1716,10,1449.6253581531698
332,-1211,48.168045198541606,12.2531325626179,7,red,1716,2,922.7332666732381
333,-876,42.9334647313456,11.169557507446699,3,red,1716,37,1464.28859928302
334,682,40.8111555696483,10.638272729912302,3,green,1716,9,835.027802565481
335,1466,40.580463417573704,10.7797994226485,5,red,1716,34,1371.7034629536502
336,501,46.1151180937292,11.891528899709598,2,red,1716,7,712.3360041962469
337,216,48.795158365668605,13.555291133406902,1,red,1716,33,1312.0836958716
338,1504,47.084737390468206,12.1502116523215,20,red,1716,4,1489.0183094818601
339,-1691,67.0156817028634,16.899076008292802,56,blue,1716,15,3105.728231468
340,732,61.70261839996739,15.493969528087598,12,red,1716,6,1097.06388718422
341,-1983,55.36528368169599,15.863668677932802,0,red,1716,36,1294.47776841362
342,1444,38.563563521704005,10.224019589772,1,green,1716,14,864.221750250276
343,-1804,55.9996064685017,14.5405034899645,2,red,1716,35,1398.54656098722
344,1688,38.6736526118004,13.404372747809301,5,blue,1716,3,883.684462937453
345,-229,60.8881314056043,15.3529530080728,12,red,1717,15,1379.5032996756602
346,763,47.346357143972504,11.9055859634945,1,red,1717,0,566.203111418948
347,1719,55.3041298364799,15.4824506354038,9,green,1717,15,1254.84630296146
348,76,53.942099449470795,14.0944134013877,2,blue,1717,9,888.387736196613
349,-1556,35.9727502576219,9.394338744672812,10,red,1717,3,1050.71304751768
350,567,46.905644648041104,13.4167419932603,8,red,1717,8,995.277642716289
351,381,44.141737915124395,11.084030041824,1,green,1717,16,986.296706346095
352,94,52.4441337337352,15.228765473176901,0,red,1717,30,1217.46682448602
353,-1632,47.0158396682542,12.5543140572927,16,green,1717,7,1378.3192526978
354,-400,62.66459730358579,16.678433493896698,3,red,1717,4,800.2657270272169
355,-515,44.8846545267311,12.1965539405465,4,blue,1717,12,1006.3404201664999
356,1092,50.704497353955794,12.9096062923408,6,blue,1717,12,1008.5336091057401
357,-1804,47.543635383111294,13.0048198198345,13,green,1717,30,1690.36965493852
358,-1440,61.2295932476746,15.6928963019837,4,red,1717,3,826.8613614455589
359,-814,47.078687461395205,11.9704924307289,7,black,1717,37,1630.3502403844598
360,-1399,45.1371776481592,12.845995538352401,4,red,1717,21,1231.23943970232
361,-516,42.371495049507296,11.068918642036,2,green,1717,26,1212.88515081357
362,1521,48.4304744093982,13.311960142420599,53,red,1717,23,3200.22242646651
363,-1031,55.04859208159429,13.881021154654,4,red,1718,2,798.579243253916
364,-1401,48.952383684625204,12.662846446313901,4,blue,1718,20,1178.0053560732001
